domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
oneworldsharedfuture.org,One World Shared Future,One World Shared Future,USA,75,33312,2026-09-13T13:10:30.484073512Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'InitiativeS', 'Investor Relations', 'Line2', 'Microdata for Google Shopping', 'Neighborhoods', 'PWA', 'PayPal Adaptive Payments', 'PayPal Button', 'PayPal Form', 'Thank You', 'UTF-8', 'Wangsu', 'Website Tonight']"
yeelengvang.com,Real Estate Website,,,52,1700,2026-09-13T13:10:30.4630767Z,"['Canva Websites', 'Cloudflare', 'Google Forms', 'Google My Business', 'NFOrce Internet', 'Neighborhoods', 'UTF-8', 'Vector Internet Services', 'reCAPTCHA']"
mp-baseball.com,Home | Michigan's Premier Baseball,Michigan's Premier Baseball,SYC,65,89270,2026-09-13T13:10:30.453171397Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Forms', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'University or College', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
miamifitexpo.com,Miami International Fitness Expo | M.I.F.E,Fit Life Productions,USA,82,16408,2026-09-13T12:25:24.071478702Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Forms', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'QUIC', 'Schema Plugin', 'Squarespace', 'Twitter Ads', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
tonsore.com,Tonsore Master Academy - Tonsore Master Academy,Tonsore Master Academy,,65,906,2026-09-13T12:03:18.593988908Z,"['Alternate Protocol', 'Animate It', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Nectar Slide Plugin', 'PHP', 'Post Grid', 'QUIC', 'Salient', 'Site Kit', 'Theme In WP', 'UTF-8', 'University or College', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery']"
ruchikaclub.org,Ruchika Club – Let the Fragrance of Friendship Blossom Throughout the World,,IND,65,17995,2026-09-13T12:03:18.561289478Z,"['Agoda', 'Alternate Protocol', 'Apache', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'GZIP Module', 'Google Forms', 'Google My Business', 'IcoMoon', 'InitiativeS', 'Instagram Follow Button', 'Line2', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'QUIC', 'QUIC.cloud', 'UTF-8', 'Wangsu', 'WordPress', 'WordPress Multisite']"
deltavolleyballcamps.com,Delta Volleyball,,,57,25421,2026-09-13T12:03:18.54304897Z,"['Aruba', 'Express', 'GZIP Module', 'Google Forms', 'Google My Business', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
coachfernandes.com,Youth Soccer Coaching for Preschool Development | youth soccer coaching,,,77,17470,2026-09-13T12:03:18.54111014Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Content Delivery Network', 'Express', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Perl', 'Pexels', 'Thank You', 'Zyro']"
jessicajacksonrealty.com,HOMES BY JESSICA,,USA,65,17287,2026-09-13T12:03:18.53733355Z,"['Alternate Protocol', 'Cloudflare', 'Constant Contact Wordpress Forms', 'Content Delivery Network', 'EmbedPress', 'GoDaddy', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Gutenberg Blocks by Kadence Blocks', 'Instagram Feed for WordPress', 'Kadence WP', 'Line2', 'MailMunch', 'Neighborhoods', 'PHP', 'QUIC', 'Theme In WP', 'Theme My Login', 'Twitter Ads', 'UTF-8', 'Wangsu', 'Website Tonight', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
justaboutpediatrictherapy.com,Justabout Pediatric Therapy,,,60,26821,2026-09-13T11:49:23.027969817Z,"['AWS WAF Challenge', 'Aruba', 'Express', 'GZIP Module', 'Google Forms', 'Google My Business', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
